argument,concern
Long term effects have not been possible to test.,long_term_effects
"It's not made like other vaccines before it, so really don't know what the (long-term) effects are, just on that point.",long_term_effects
It hasnât been tested for long term effects,long_term_effects
no long term studies to show the effects ,long_term_effects
I don't want to stand in those long lines waiting.,long_term_effects
because it was rushed through and we dont know the long term side effects.,long_term_effects
I have already had covid once.  Why risk putting something in my body that I do not know the long term effects of in 20 years? No thanks.,long_term_effects
It has not been available for long enough to know the long term effects of the vaccine.,long_term_effects
I dont think I am at high risk of any long term effects,long_term_effects
Long term side effects are unknown.,long_term_effects
I believe the covid-19 vaccine does not stop the spreading and it's said that it will not maintain immunity in a person for very long. So it means I would need to take fairly unconventional vaccines regularly without knowing the long term side effects.,long_term_effects
I want to wait for check if there is a danger in long term after vaccine,long_term_effects
Long-term negative effects are unknown,long_term_effects
hasn't been researched long enough,long_term_effects
"It hasnât been a vaccine or virus that has been around long enough to know if itâs 100% safe, I have 2 children and so feel i canât risk it",long_term_effects
not been tested long enough,long_term_effects
I dont know the long term effects,long_term_effects
Concerned about any long term side effects,long_term_effects
"There does not need to be a third reason. It has not been researched long enough, and it's not up to you are plenty good enough for others to suck a lemon over.",long_term_effects
I'm going to wait at least a year to see the long term effects (if there are any) on people.,long_term_effects
I think there are very few vaccines with actual long term data that rules out cancer.,long_term_effects
It will take a long time to be available to me.,long_term_effects
By the time it becomes available to me it won't be long until I give birth and then I will get it,long_term_effects
It is not well tested.,safety
"Lots of people say that the vaccine is not well tested and people are being treated as guinea pigs. I rather disagree, but frankly, I'm not sure what to think.",safety
Its not field tested enough,safety
Do not believe that the vaccine has been fully tested on human and all the side effects isn't known.,safety
I am not confident that it has been tested properly.,safety
It hasnât been tested enough ,safety
I want it to be tested more and on a longer term.,safety
Not been tested for very long so might not be safe. Would be better if tested for longer,safety
But there is also no evidence that sufficient testing will be carry out.,safety
There isn't enough time for enough testing to be carried out.,safety
"This situation is unprecedented, there is no way that they can do as much testing as normal.",safety
I don't trust this new vaccine because it was developed too quickly.,safety
"I question the safety, and necessity, of the vaccine. ",safety
"i have M.E and the effects of this vaccine with this particular complex condition have yet to be truly known. I'm pro vaccine, but am personally gonna wait a bit longer than most til i know it is safe for people with my particular condition.",safety
It is not safe,safety
Just want to make sure itâs safe,safety
I am unsure if the vaccines have been properly tested and are safe and efficient. ,safety
I still have concerns about safety after such a short production and testing time and need more reassurance and evidence of this.,safety
"is it safe to get the vaccine , ",safety
Safety of the vaccine cannot be guaranteed.,safety
they made the vaccine very quick,fast_development
It was produced too quickly.,fast_development
Seems abit rushed out,fast_development
"There was a lot of pressure to get these vaccines made and approved as quickly as possible, so I'm not completely sure about the evaluation of secondary effects",fast_development
I do not want to get a COVID-19 vaccine because I feel that it was still in the trial phase and it was rushed.,fast_development
It's not that I definitely don't want one but given how quickly they've been rolled out I'd be concerned if they are actually effective.,fast_development
I don't trust a rushed vaccine.,fast_development
"Vaccine trials and production were rushed very quickly, and possible side effects may not be seen in the short term.",fast_development
I still have concerns about safety after such a short production and testing time and need more reassurance and evidence of this.,fast_development
because it was rushed through and we dont know the long term side effects.,fast_development
Rushed research into the vaccine,fast_development
"Too little  experiments, too fast to get the vaccine instead to do more trail and wait longer  ",fast_development
"I don't trust a vaccine made in such a short time. Even with the many resources given, you can't just throw money at something to get it done, some things need time.",fast_development
I have some concerns about possible side effects too with such a new vaccine that has been rushed through. Therefore in some respects I would sooner not get it too quickly as you have longer to evaluate impact of the vaccine if any in a negative way.,fast_development
This vaccine was invented a little quickly and I'm a bit worried for now.,fast_development
its been rushed through,fast_development
I feel that the process and roll out has been rushed.,fast_development
The vaccination was created incredibly quickly.  Usually vaccinations are in the making for years before they are rolled out to the public.,fast_development
I am young and I don't feel like getting a vaccine,healthy
I am young and very healthy.,healthy
I am healthy and 34 years old. So even if get infected the chances that I will need to go to a hospital are very few.,healthy
II am a young and healthy person,healthy
I don't consider it necessary since covid is just a strain of flu and I have good immune system. ,healthy
I am young and probably there won't be serious consequences if I get sick from covid-19.,healthy
"I'm young, healthy and exercise regularly, there aren't many chances of me getting serious symptoms if I get covid.",healthy
"I don't need it as I believe I am healthy, and capable of fighting it myself.",healthy
"I am a young and healthy 30 year old, I believe my body would be strong enough",healthy
 There is clear evidence that a healthy balanced diet & active lifestyle protects against illness & viruses. The stronger & healthier we are the stronger our immune system. ,healthy
Covid poses no risk to those who are generally healthy with no underlying health conditions,healthy
Having a healthy lifestyle minimises the risk,healthy
"Vaccine shouldn't be mandatory, especially not for people of high risk as it is not a deadly virus on its own and for a healthy organism. The deaths were of people that already had health issues.",healthy
I am convinced that I wont have fatal complications. I am healthy and would rather get the disease naturally than expose myself to a new vaccine,healthy
"It is not that deadly and if people lived a more sustainable and healthy lifestyle, none of this would be a concern",healthy
I am young and healthy and not scared of the virus,healthy
healthy people shouldnt be worried about the virus. This is a wake up call for everyone how unsustainable and unhealthy we are living,healthy
I am not worried about catching it. I have a strong immune system and will be fine,healthy
Too much mutations of this virus ,mutation
vaccines unlikely helps for new variant of covid virus according to some uk scientists ,mutation
"The virus mutates and so any vaccine is only temporarily effective. Seems like a waste of resources and effort to get a shot that will only last a few months. Again, I feel the same way about the flu vaccine.",mutation
"The virus can keep mutating, rendering the vaccine ineffective.",mutation
Doubt that it will even work against all the new strains and variants that are coming out.,mutation
the virus may mutate and then such a vaccine will be ineffective,mutation
the virus mght mutate and therefore render any vaccine useless,mutation
"if the virus changes it’s form, the developed vaccine may not be suitable for that changed type",mutation
"if covid is like the flu, the virus might mutate. The vaccine will therefore be ineffective",mutation
there is a risk that the virus mutates and the vaccines will not work on that new strain,mutation
I dont want to get a new vaccine every time the virus mutates,mutation
"I don't think COVID-19 is serious enough for me to go out of my way to get a vaccine. For example, I get my Tetanus shots but I've never gotten shots for the seasonal flu because I can deal with that if I do get sick.",flu
"I don't get vaccines for illnesses that are very unlikely to kill or disfigured me. For things like the corona virus and the flu, I'd rather get sick and recover with natural immunity. Immune systems need to get exercise in order to stay strong.",flu
I never get a flu vaccine because the one time I did I got the flu,flu
"i do not get flu jab yearly, why should i get this one",flu
I have never even got a flu shot so I'm definitely not getting this vaccine. ,flu
covid19 is a coronavirus which is a stronger version of the common cold which is a coronavirus. if you cant cure the common cold or all flu then how can you cure a disease which is along the similar lines and has been around a shorter time,flu
HAVE NOT TAKEN FLU SHOT FOR 10 YEAR AND HAVE NOT GOTTEN THE FLU. IF THIS VACCINE BECOMES A YEARLY SHOT I AM VERY UNLIKELY TO GET IT EVERY YEAR.  ,flu
"I've never gotten a flu vaccine either. I'm not at all scared of getting a virus with such a high rate of survival, much live COVID-19. ",flu
Regular flu has a higher death rate than COVID-19.,flu
ive had covid19 and it was weaker than any flu i have had.,flu
agree,agree
good point,agree
true,agree
hopefully yes,agree
i havent thought of that,agree
i get it now,agree
that does make sense,agree
"Yes, I know",agree
that is true,agree
I agree.,agree
that is a good point,agree
makes sense,agree
I understand,agree
agreed,agree
I didnt think of that,agree
valid point,agree
yes,agree
thats great,agree
I guess,agree
Yes I agree with that,agree
aware of that,agree
valid point,agree
ok,agree
indeed,agree
"Okay, that actually makes sense",agree
that makes sense thanks,agree
Makes sense ,agree
that actually makes sense,agree
